force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
100, 291, 291, 0, 0.000000
200, 291, 291, 0, 0.000000
300, 291, 291, 0, 0.000000
400, 291, 291, 0, 0.000000
500, 291, 291, 0, 0.000000
600, 291, 291, 0, 0.000000
700, 291, 291, 0, 0.000000
800, 291, 291, 0, 0.000000
900, 291, 291, 0, 0.000000
1000, 291, 291, 0, 0.000000
1100, 291, 292, 1, 0.041199
1200, 291, 292, 1, 0.041199
1300, 291, 294, 3, 0.137331
1400, 291, 302, 11, 0.494392
1500, 294, 364, 70, 3.131151
1600, 300, 441, 141, 6.317235
1700, 283, 606, 323, 14.543374
1800, 237, 643, 406, 18.278782
1900, 216, 677, 461, 20.750744
2000, 201, 720, 519, 23.318838
2100, 123, 757, 634, 28.564890
2200, 97, 798, 701, 31.531242
2300, 41, 806, 765, 34.401466
2400, 30, 848, 818, 36.818493
2500, -34, 854, 888, 40.018311
2600, -9, 948, 957, 43.121994
2700, -110, 881, 991, 44.660107
2800, -6, 1170, 1176, 52.968643
2900, -107, 1142, 1249, 56.264591
3000, -129, 1201, 1330, 59.862667
3100, -121, 1311, 1432, 64.490730
3200, -135, 1385, 1520, 68.459602
3300, -139, 1507, 1646, 74.090179
3400, -140, 1577, 1717, 77.317467
3500, -134, 1641, 1775, 79.940491
3600, -142, 1789, 1931, 86.971848
3700, -114, 1945, 2059, 92.712288
3800, -130, 1948, 2078, 93.522545
3900, -130, 1897, 2027, 91.229111
4000, -116, 2000, 2116, 95.252922
4100, -117, 1982, 2099, 94.511330
4200, -128, 2009, 2137, 96.200500
4300, -115, 2076, 2191, 98.644997
4400, -131, 2009, 2140, 96.337837
4500, -131, 2121, 2252, 101.377892
4600, -127, 2089, 2216, 99.757385
4700, -139, 2114, 2253, 101.405357
4800, -129, 2182, 2311, 104.028381
4900, -113, 2140, 2253, 101.391624
5000, -141, 2188, 2329, 104.824905
5100, -121, 2228, 2349, 105.745018
5200, -129, 2240, 2369, 106.637672
5300, -128, 2260, 2388, 107.461662
5400, -117, 2324, 2441, 109.878693
5500, -96, 2291, 2387, 107.447929
5600, -111, 2358, 2469, 111.169601
5700, -127, 2365, 2492, 112.185852
5800, -135, 2354, 2489, 112.075989
5900, -92, 2460, 2552, 114.877548
6000, -113, 2455, 2568, 115.605400
6100, -108, 2460, 2568, 115.605400
6200, -125, 2504, 2629, 118.338295
6300, -130, 2520, 2650, 119.285881
6400, -115, 2491, 2606, 117.308311
6500, -129, 2538, 2667, 120.041199
6600, -107, 2601, 2708, 121.908905
6700, -130, 2537, 2667, 120.054932
6800, -143, 2543, 2686, 120.892654
6900, -122, 2581, 2703, 121.675438
7000, -125, 2578, 2703, 121.716637
7100, -137, 2567, 2704, 121.702904
7200, -125, 2616, 2741, 123.392082
7300, -98, 2712, 2810, 126.495766
7400, -116, 2691, 2807, 126.358437
7500, -114, 2709, 2823, 127.100021
7600, -123, 2725, 2848, 128.198669
7700, -131, 2694, 2825, 127.154953
7800, -117, 2776, 2893, 130.244904
7900, -135, 2783, 2918, 131.357285
8000, -129, 2907, 3036, 136.658279
8100, -127, 2860, 2987, 134.447235
8200, -118, 2891, 3009, 135.436020
8300, -124, 2982, 3106, 139.816895
8400, -124, 2957, 3081, 138.690781
8500, -149, 2982, 3131, 140.929276
8600, -117, 2987, 3104, 139.734497
8700, -139, 3069, 3208, 144.417480
8800, -123, 3192, 3315, 149.210342
8900, -119, 3309, 3428, 154.305328
9000, -130, 3329, 3459, 155.719849
9100, -118, 3283, 3401, 153.083084
9200, -102, 3458, 3560, 160.210571
9300, -117, 3383, 3500, 157.532623
9400, -103, 3369, 3472, 156.255432
9500, -121, 3378, 3499, 157.491409
9600, -124, 3434, 3558, 160.183105
9700, -107, 3507, 3614, 162.696274
9800, -114, 3441, 3555, 160.032043
9900, -128, 3506, 3634, 163.561462
10000, -128, 3553, 3681, 165.662628
