force, startX, endX, deltaX, deltaXDeg
0, 0, 0, 0, 0
100, 23, 23, 0, 0.000000
200, 23, 23, 0, 0.000000
300, 23, 23, 0, 0.000000
400, 23, 23, 0, 0.000000
500, 23, 23, 0, 0.000000
600, 23, 23, 0, 0.000000
700, 23, 23, 0, 0.000000
800, 23, 23, 0, 0.000000
900, 23, 23, 0, 0.000000
1000, 23, 23, 0, 0.000000
1100, 23, 23, 0, 0.000000
1200, 23, 23, 0, 0.000000
1300, 23, 24, 1, 0.082399
1400, 23, 30, 7, 0.274662
1500, 30, 127, 97, 4.367132
1600, 130, 302, 172, 7.745480
1700, 289, 611, 322, 14.515907
1800, 241, 640, 399, 17.949188
1900, 226, 691, 465, 20.901808
2000, 186, 699, 513, 23.085375
2100, 218, 840, 622, 27.988098
2200, 54, 746, 692, 31.146715
2300, 152, 911, 759, 34.168003
2400, 12, 833, 821, 36.942093
2500, 46, 928, 882, 39.674984
2600, 34, 944, 910, 40.938431
2700, -58, 931, 989, 44.550240
2800, -3, 1179, 1182, 53.229572
2900, -135, 1121, 1256, 56.539253
3000, -95, 1186, 1281, 57.679104
3100, -130, 1250, 1380, 62.128635
3200, -121, 1406, 1527, 68.734261
3300, -121, 1453, 1574, 70.876633
3400, -141, 1573, 1714, 77.180130
3500, -124, 1676, 1800, 81.080338
3600, -119, 1754, 1873, 84.307625
3700, -134, 1928, 2062, 92.863358
3800, -90, 1942, 2032, 91.503777
3900, -96, 1934, 2030, 91.435112
4000, -108, 1964, 2072, 93.289085
4100, -106, 2000, 2106, 94.813461
4200, -102, 1985, 2087, 94.003204
4300, -145, 2004, 2149, 96.722359
4400, -125, 2038, 2163, 97.409019
4500, -106, 2063, 2169, 97.656212
4600, -149, 2058, 2207, 99.345390
4700, -110, 2136, 2246, 101.130692
4800, -140, 2106, 2246, 101.130692
4900, -125, 2120, 2245, 101.089493
5000, -108, 2231, 2339, 105.305565
5100, -101, 2182, 2283, 102.751205
5200, -129, 2192, 2321, 104.467842
5300, -122, 2217, 2339, 105.319298
5400, -102, 2310, 2412, 108.587776
5500, -97, 2295, 2392, 107.695122
5600, -132, 2289, 2421, 108.972305
5700, -127, 2352, 2479, 111.595329
5800, -86, 2376, 2462, 110.840012
5900, -135, 2343, 2478, 111.567863
6000, -118, 2402, 2520, 113.463036
6100, -112, 2426, 2538, 114.287025
6200, -112, 2466, 2578, 116.044861
6300, -117, 2484, 2601, 117.088577
6400, -123, 2455, 2578, 116.031128
6500, -130, 2487, 2617, 117.775238
6600, -116, 2500, 2616, 117.734032
6700, -121, 2496, 2617, 117.816437
6800, -137, 2521, 2658, 119.684135
6900, -121, 2532, 2653, 119.450676
7000, -102, 2593, 2695, 121.332115
7100, -133, 2563, 2696, 121.345848
7200, -137, 2667, 2804, 126.221100
7300, -118, 2684, 2802, 126.124969
7400, -117, 2640, 2757, 124.078735
7500, -128, 2690, 2818, 126.866562
7600, -123, 2673, 2796, 125.864044
7700, -112, 2727, 2839, 127.827881
7800, -140, 2769, 2909, 130.972763
7900, -123, 2787, 2910, 130.972763
8000, -112, 2885, 2997, 134.914169
8100, -125, 2802, 2927, 131.755554
8200, -92, 2857, 2949, 132.730606
8300, -133, 2861, 2994, 134.763107
8400, -108, 2912, 3020, 135.930420
8500, -117, 2974, 3091, 139.116501
8600, -102, 3063, 3165, 142.467377
8700, -116, 2999, 3115, 140.201416
8800, -131, 3075, 3206, 144.307617
8900, -104, 3276, 3380, 152.149231
9000, -135, 3273, 3408, 153.398941
9100, -131, 3333, 3464, 155.912109
9200, -113, 3367, 3480, 156.612503
9300, -143, 3394, 3537, 159.208054
9400, -103, 3409, 3512, 158.054474
9500, -119, 3389, 3508, 157.930878
9600, -101, 3494, 3595, 161.803619
9700, -98, 3497, 3595, 161.831085
9800, -124, 3413, 3537, 159.221786
9900, -124, 3497, 3621, 162.998398
10000, -121, 3487, 3608, 162.435333
